,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
44686,1333.7,464.8,2868.9,able,37,190.5,83.9,H,1326453
44693,1269.2,485.0,2657.0,PR3 (PD),62,180.3,81.2,H,1326477
44716,1270.1,475.8,2730.2,able,52,185.4,96.2,H,1326567
44717,1251.7,460.6,2587.0,able,48,185.4,93.9,H,1326571
44724,1156.6,440.5,2395.9,able,55,172.7,86.6,H,1326613
44735,1091.5,406.6,2332.3,able,47,188.0,91.6,H,1326682
44777,1235.1,462.5,2780.7,able,51,175.3,66.2,L,1326888
44779,1228.4,440.4,2414.9,able,57,180.3,88.0,H,1326892
44781,1086.8,403.3,2243.8,able,51,188.0,108.9,H,1326914
44784,1525.3,559.1,3320.0,able,54,160.0,59.4,L,1326933
44791,1206.9,466.0,2546.3,able,45,190.5,104.3,H,1326955
44809,1136.9,426.5,2351.0,able,45,190.5,93.0,H,1327049
44816,1067.5,408.7,2230.7,able,57,182.9,84.8,H,1327071
44819,1253.3,526.8,2625.7,able,63,175.3,73.0,L,1327082
44828,1096.4,422.2,2245.7,able,37,190.5,104.8,H,1327136
44830,1287.5,481.7,2803.9,able,47,182.9,41.3,H,1327152
44845,1150.3,432.0,2584.9,able,39,198.1,98.9,H,1327240
44846,1258.8,479.0,2639.1,able,36,188.0,74.8,L,1327250
44849,1182.4,455.7,2463.3,able,48,177.8,83.9,H,1327260
44858,1225.6,469.9,2519.5,able,31,177.8,73.9,L,1327306
44860,1313.3,503.0,2744.5,able,47,172.7,86.2,H,1327335
44862,1250.7,493.1,2566.6,able,37,182.9,83.0,H,1327358
44865,1136.4,429.0,2327.7,able,39,180.3,69.9,L,1327374
44875,1225.9,452.0,2679.4,able,64,185.4,87.1,H,1327423
44880,1360.9,462.3,3562.0,able,35,185.4,79.8,H,1327457
44884,1166.3,454.1,2525.7,able,61,177.8,76.2,H,1327473
44893,1242.6,447.3,2692.8,able,39,177.8,84.8,H,1327516
44903,1123.2,426.5,2401.1,able,43,180.3,83.9,H,1327555
44907,1306.6,522.1,2685.6,able,52,165.1,60.8,H,1327589
44909,1249.2,492.4,2627.4,able,42,193.0,127.0,H,1327596
44954,1138.6,431.7,2517.9,able,31,188.0,95.3,H,1327842
44956,1316.5,511.2,2901.4,able,40,175.3,69.9,L,1327852
44957,1091.7,414.5,2286.7,able,32,185.4,99.8,H,1327853
44958,1301.3,510.5,2685.2,able,41,180.3,110.2,H,1327857
44959,1160.5,435.9,2311.8,able,53,185.4,88.5,H,1327858
44964,1103.5,419.6,2384.7,able,39,185.4,92.1,H,1327877
44974,1189.0,470.5,2525.9,able,51,172.7,77.1,H,1327944
44987,1248.2,473.1,2687.1,able,47,177.8,79.8,H,1328011
44991,1258.1,527.5,2745.0,able,55,177.8,79.4,H,1328021
44997,1241.5,467.3,2635.2,able,40,167.6,70.3,H,1328034
45001,1250.4,466.8,2665.6,able,28,185.4,90.7,H,1328050
45016,1340.2,506.1,2882.2,able,64,180.3,77.1,H,1328146
45017,1268.6,490.2,2660.1,able,57,170.2,64.4,L,1328147
45032,1149.2,436.6,2335.8,able,51,188.0,98.9,H,1328236
45049,1237.8,511.8,2699.7,able,53,175.3,89.8,H,1328384
45052,1189.7,445.5,2505.5,able,41,175.3,83.0,L,1328390
45073,1126.4,419.0,2322.2,able,42,180.3,113.4,H,1328514
45082,1255.3,477.2,2667.9,able,41,177.8,109.8,H,1328609
45086,1357.3,523.2,2967.8,able,41,170.2,72.1,L,1328640
45112,1241.6,450.0,2508.8,able,34,185.4,103.0,H,1328715
45116,1450.3,476.3,2704.6,able,32,172.7,84.8,H,1328727
45127,1493.9,560.4,3189.7,able,55,172.7,68.9,L,1328779
45144,1133.7,423.3,2397.5,able,54,188.0,88.9,H,1328848
45165,1146.5,421.9,2366.8,able,15,172.7,65.3,L,1328950
45197,1426.7,536.7,2995.3,able,77,177.8,82.6,H,1329075
45202,1143.8,427.7,2383.2,able,34,198.1,104.8,H,1329089
45224,1328.2,494.1,2768.4,able,57,172.7,75.3,H,1329198
45239,1191.0,516.2,2490.7,able,43,180.3,89.8,H,1329255
45251,1293.7,479.2,2836.7,able,35,182.9,73.9,L,1329295
45260,1123.6,432.1,2334.4,able,44,175.3,72.6,L,1329351
45290,1078.2,391.5,2277.0,able,37,193.0,88.5,H,1329443
45306,1559.1,565.3,3002.9,able,38,165.1,87.1,H,1329498
45313,1081.3,407.1,2329.7,able,26,185.4,96.2,H,1329512
45314,1195.3,459.3,2432.5,able,48,180.3,121.6,H,1329513
45326,1187.6,476.4,2479.1,able,53,182.9,102.1,H,1329559
45332,1023.7,388.9,2136.1,able,32,188.0,90.3,H,1329583
45349,978.2,364.9,2037.1,able,34,188.0,90.7,H,1329622
45374,1134.4,427.8,2363.3,able,47,198.1,115.7,H,1329702
45386,1164.7,419.7,2357.0,able,41,185.4,99.8,H,1329743
45400,1404.6,564.7,3322.7,able,45,172.7,77.1,H,1329797
45402,1149.8,445.8,2394.6,able,42,182.9,83.5,H,1329815
45449,1336.0,495.0,2717.2,able,75,182.9,83.0,H,1329970
45464,1331.0,509.6,2826.0,able,60,170.2,59.9,L,1330033
45475,1314.5,516.6,2748.6,able,30,177.8,75.8,H,1330085
45553,1175.4,452.7,2463.1,able,47,195.6,106.6,H,1330505
45559,1247.3,477.5,2644.2,able,49,180.3,79.4,H,1330562
45587,1255.1,476.1,2627.9,able,60,167.6,79.4,H,1330712
45590,1162.6,455.1,2513.8,able,35,188.0,102.1,H,1330723
45595,1525.5,734.0,3419.8,able,37,188.0,103.9,H,1330757
45610,1258.5,441.9,2574.7,able,34,180.3,86.2,H,1330815
45622,1511.7,537.2,3373.9,able,40,182.9,77.1,H,1330863
45623,1423.2,527.9,2857.8,able,47,175.3,81.2,H,1330864
45636,1271.7,476.6,2587.6,able,45,182.9,107.0,H,1330927
45644,1092.9,412.6,2272.9,able,24,177.8,74.4,L,1330979
45661,1258.5,458.6,2428.2,able,53,182.9,108.0,H,1331130
45670,1137.4,411.6,2419.5,able,19,182.9,74.8,L,1331221
45675,1084.4,425.7,2434.0,able,17,182.9,68.9,L,1331248
45688,1321.7,499.7,2928.2,able,35,175.3,120.2,H,1331324
45701,1404.2,513.5,2805.1,able,37,165.1,66.2,H,1331384
45703,1173.8,434.9,2361.1,able,46,175.3,69.9,L,1331392
45706,1207.8,476.2,2499.1,able,56,177.8,117.9,H,1331409
